name,birthday,nationality
Tom Hardy,1977-09-15,UK
Margot Robbie,1990-07-02,Australia
Leonardo DiCaprio,1974-11-11,USA
Scarlett Johansson,1984-11-22,USA
Robert Downey Jr.,1965-04-04,USA
Chris Evans,1981-06-13,USA
Mark Ruffalo,1967-11-22,USA
Chris Hemsworth,1983-08-11,Australia
Zendaya,1996-09-01,USA
Ryan Gosling,1980-11-12,Canada
Brad Pitt,1963-12-18,USA
Jennifer Lawrence,1990-08-15,USA
Meryl Streep,1949-06-22,USA
George Clooney,1961-05-06,USA
Viola Davis,1965-08-11,USA
Denzel Washington,1954-12-28,USA
Samuel L. Jackson,1948-12-21,USA
Will Smith,1968-09-25,USA
Cate Blanchett,1969-05-14,Australia
Sandra Bullock,1964-07-26,USA
Tom Hanks,1956-07-09,USA
Michelle Pfeiffer,1958-04-29,USA
Emma Stone,1988-11-06,USA
Ryan Reynolds,1976-10-23,Canada
Hugh Jackman,1968-10-12,Australia
Keanu Reeves,1964-09-02,Canada
Dwayne Johnson,1972-05-02,USA
Jennifer Aniston,1969-02-11,USA
Gal Gadot,1985-04-30,Israel
Natalie Portman,1981-06-09,Israel
Christian Bale,1974-01-30,UK
Amy Adams,1974-08-20,USA
Melissa McCarthy,1970-08-26,USA
Emma Thompson,1959-04-15,UK
Liam Neeson,1952-06-07,Ireland
